trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.97, 'e': 0.2782356912138437}",20,0,13.07682740078016,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.97, 'e': 0.2698886204774284}",30,14,-22.715615321050393,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.97, 'e': 0.26179196186310555}",25,0,-25.62529945744394,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.97, 'e': 0.25393820300721237}",20,1,7.773903117618987,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.97, 'e': 0.246320056916996}",25,0,-4.929359066764136,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.97, 'e': 0.2389304552094861}",30,17,5.3408310079779895,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.97, 'e': 0.23176254155320153}",20,3,-15.953731430766812,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.97, 'e': 0.22480966530660546}",25,0,28.228180250060078,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.97, 'e': 0.2180653753474073}",20,11,18.295313854093806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.97, 'e': 0.21152341408698508}",20,0,-133.4258076758308,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
52,False,"{'a': 0.97, 'e': 0.2051777116643755}",25,0,-20.617094913737546,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.97, 'e': 0.19902238031444425}",25,5,7.419635361685234,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.97, 'e': 0.19305170890501092}",25,19,1.2563663924558912,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.97, 'e': 0.18726015763786058}",20,0,7.229089416057022,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.97, 'e': 0.18164235290872474}",20,3,18.661480707219965,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.97, 'e': 0.176193082321463}",20,5,-3.1673977642335522,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.97, 'e': 0.1709072898518191}",30,17,-2.296414594473806,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.97, 'e': 0.16578007115626453}",20,11,9.131502912691147,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.97, 'e': 0.1608066690215766}",20,0,-48.50994210514397,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.97, 'e': 0.1559824689509293}",35,6,5.152472575987998,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.97, 'e': 0.15130299488240143}",20,13,12.449223163489929,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.97, 'e': 0.14676390503592937}",20,14,10.694428318643133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.97, 'e': 0.1423609878848515}",30,17,8.673202328153792,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.97, 'e': 0.13809015824830592}",25,17,4.4810856291210985,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.97, 'e': 0.13394745350085674}",20,3,7.646782097782065,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.97, 'e': 0.12992902989583105}",25,15,1.291504904984381,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.97, 'e': 0.12603115899895612}",25,4,20.251149642226547,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.97, 'e': 0.12225022422898742}",25,12,-23.611538399908333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.97, 'e': 0.1185827175021178}",20,12,17.138880927409243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.97, 'e': 0.11502523597705426}",20,0,21.430855088410073,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.97, 'e': 0.11157447889774263}",20,13,11.72158451707568,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.97, 'e': 0.10822724453081034}",20,14,12.999733142082063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.97, 'e': 0.10498042719488604}",25,11,23.304713830456578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.97, 'e': 0.10183101437903945}",20,14,13.809228266735532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.97, 'e': 0.09877608394766826}",20,16,7.591942615344928,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.97, 'e': 0.09581280142923822}",25,11,26.28293126384142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.97, 'e': 0.09293841738636106}",25,14,13.11956380162285,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.97, 'e': 0.09015026486477022}",25,18,14.086279963227616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.97, 'e': 0.08744575691882712}",20,3,3.9007725831671562,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.97, 'e': 0.0848223842112623}",25,9,25.900994089820827,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.97, 'e': 0.08227771268492444}",25,18,-7.365155780461821,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.97, 'e': 0.0798093813043767}",20,11,15.653497241244024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.97, 'e': 0.07741509986524539}",20,5,27.430774663548387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.97, 'e': 0.07509264686928803}",25,13,-15.158458621421069,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.97, 'e': 0.07283986746320939}",20,14,-8.192498623403965,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.97, 'e': 0.0706546714393131}",25,10,11.75759501581015,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.97, 'e': 0.06853503129613371}",20,16,7.310350206041368,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.97, 'e': 0.0664789803572497}",25,16,8.361582117428734,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.97, 'e': 0.0644846109465322}",30,20,20.713388924715368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.97, 'e': 0.06255007261813623}",20,14,11.58188803319449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.97, 'e': 0.060673570439592144}",25,18,11.406417346532788,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.97, 'e': 0.05885336332640438}",20,7,25.696749072060452,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.97, 'e': 0.057087762426612246}",20,13,13.914281052190614,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.97, 'e': 0.05537512955381388}",30,18,23.440281436895557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.97, 'e': 0.053713875667199464}",20,0,31.744143458190504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.97, 'e': 0.05210245939718348}",25,0,29.80877800117667,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
