trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.005, 'e': 0.26447726129982396}",30,16,-1.681222063913224,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
267,False,"{'a': 0.005, 'e': 0.2631581754560287}",20,6,-0.6191335557255708,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
268,False,"{'a': 0.005, 'e': 0.261845668580326}",25,0,-19.371262716854755,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
269,False,"{'a': 0.005, 'e': 0.2605397078599756}",20,13,14.337887199576432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.005, 'e': 0.2592402606458915}",25,10,16.393827621537078,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.005, 'e': 0.2579472944518257}",20,6,-63.440579276774294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
272,False,"{'a': 0.005, 'e': 0.2566607769535559}",30,17,3.7357695377421436,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.005, 'e': 0.2553806759880777}",25,10,12.340762488331437,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.005, 'e': 0.25410695955280027}",25,19,3.7150851439973684,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.005, 'e': 0.25283959580474646}",25,0,-31.432235189199492,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
276,False,"{'a': 0.005, 'e': 0.25157855305975646}",20,0,18.143188410342347,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.005, 'e': 0.2503237997916961}",20,8,18.600893332488255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.005, 'e': 0.24907530463166816}",20,14,10.561078619764864,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.005, 'e': 0.24783303636722875}",25,0,33.67211841743001,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
